operator,tested,accepted,rejectedByTrim,rejectedByMasterTrim,rejectedBySlaveTrim,acceptanceRatio,rejectionRatio,physicalMeasure,appliedResultant,referenceResultant,resultantRelativeError
surface-pressure,112,112,0,0,0,1,0,300000,18000,18000,0
line-load,0,0,0,0,0,0,0,0,0,0,0
coupling-interface,232,162,0,70,0,0.698276,0.301724,0,0,0,0
