operator,tested,accepted,rejectedByTrim,rejectedByMasterTrim,rejectedBySlaveTrim,acceptanceRatio,rejectionRatio,physicalMeasure,appliedResultant,referenceResultant,resultantRelativeError
surface-pressure,0,0,0,0,0,0,0,0,0,0,0
line-load,0,0,0,0,0,0,0,1597.28,68454.7,68454.7,0
coupling-interface,0,0,0,0,0,0,0,0,0,0,0
